season,side,pitcher_id,k_actual,exp_ks,p_over
2024,away,607192,3,1.75965,0.0027
2024,home,506433,3,1.7527,0.00305
2024,away,605397,2,1.74815,0.00285
2024,home,808967,2,1.7447,0.00315
2024,away,663776,2,1.75945,0.0031
2024,home,669203,11,1.7614,0.00235
2024,away,680686,6,1.75075,0.0025
2024,home,593423,4,1.76675,0.00345
2024,away,657277,5,1.76175,0.00265
2024,home,506433,7,1.7563,0.0024
2024,away,571945,5,1.73425,0.0031
2024,home,607192,5,1.75705,0.00325
2024,away,621244,6,1.7558,0.0026
2024,home,621107,5,1.7521,0.00285
2024,away,641154,7,1.7627,0.00245
2024,home,666142,9,1.76205,0.0035
2024,away,669373,6,1.7625,0.00305
2024,home,676979,8,1.7566,0.00305
2024,away,656605,3,1.7538,0.00285
2024,home,666200,8,1.76135,0.00325
2024,away,641482,5,1.77405,0.0034
2024,home,664285,5,1.7434,0.00305
2024,away,657006,6,1.76635,0.00285
2024,home,543135,3,1.76615,0.00385
2024,away,669456,11,1.7528,0.00255
2024,home,622072,3,1.75935,0.00305
2024,away,607536,2,1.76205,0.00255
2024,home,668678,3,1.7554,0.00295
2024,away,678394,2,1.75345,0.0023
2024,home,622491,5,1.7618,0.0032
2024,away,642547,8,1.7557,0.0034
2024,home,500779,4,1.74885,0.0025
2024,away,675911,8,1.7652,0.00295
2024,home,554430,5,1.76815,0.003
2024,away,605135,6,1.75805,0.00265
2024,home,650644,6,1.75515,0.00365
2024,away,527048,2,1.7824,0.00425
2024,home,640462,1,1.7685,0.00325
2024,away,607074,4,1.76715,0.0034
2024,home,664299,6,1.7564,0.0025
2024,away,615698,1,1.76215,0.0031
2024,home,518876,8,1.7586,0.0028
2024,away,671106,3,1.7525,0.0027
2024,home,548389,6,1.75055,0.00285
2024,away,601713,10,1.74945,0.00275
2024,home,669923,8,1.75325,0.0033
2024,away,690986,5,1.75665,0.00325
2024,home,605397,3,1.75565,0.0035
2024,away,668868,4,1.77165,0.00255
2024,home,676272,11,1.77295,0.00335
2024,away,669084,1,1.7669,0.00315
2024,home,622663,6,1.7696,0.00325
2024,away,628317,2,1.7484,0.003
2024,home,647336,0,1.76225,0.00285
2024,away,656288,2,1.7688,0.0034
2024,home,680570,9,1.7755,0.00265
2024,away,608331,1,1.76425,0.00225
2024,home,605400,3,1.75165,0.0033
2024,away,676440,4,1.74505,0.00275
2024,home,676664,1,1.76355,0.0038
2024,away,571578,2,1.75155,0.0026
2024,home,668881,7,1.7386,0.0025
2024,away,579328,4,1.76375,0.00245
2024,home,641793,6,1.75225,0.0039
2024,away,657746,5,1.7623,0.00305
2024,home,607625,4,1.75845,0.00295
2024,away,683003,10,1.7551,0.00325
2024,home,677960,5,1.768,0.0028
2024,away,543294,2,1.7514,0.00245
2024,home,674003,6,1.7494,0.0029
2024,away,663855,6,1.76095,0.0023
2024,home,656302,6,1.77015,0.00245
2024,away,573186,4,1.77475,0.0033
2024,home,686613,5,1.76235,0.00285
2024,away,596295,3,1.75395,0.00295
2024,home,674072,4,1.76075,0.0019
2024,away,458681,5,1.7633,0.00255
2024,home,808967,5,1.7752,0.00335
2024,away,676710,7,1.7575,0.00245
2024,home,669302,8,1.75735,0.0034
2024,away,672282,7,1.7514,0.00315
2024,home,669330,7,1.7629,0.00325
2024,away,519242,7,1.75145,0.00305
2024,home,624133,7,1.7332,0.0029
2024,away,663623,4,1.76445,0.00385
2024,home,607259,3,1.77115,0.0036
2024,away,592332,6,1.7556,0.0026
2024,home,542888,1,1.75615,0.00355
2024,away,663559,2,1.78105,0.0032
2024,home,669432,6,1.76085,0.00295
2024,away,607067,2,1.7772,0.00295
2024,home,656731,4,1.76785,0.00345
2024,away,641927,1,1.7687,0.0032
2024,home,663903,10,1.7701,0.0024
2024,away,656427,7,1.7557,0.00275
2024,home,607200,7,1.75505,0.00295
2024,away,657376,5,1.7652,0.00265
2024,home,641585,5,1.76755,0.00325
2024,away,696136,6,1.7557,0.0026
2024,home,592351,2,1.75315,0.0032
2024,away,471911,3,1.76825,0.00265
2024,home,621112,3,1.75615,0.0029
2024,away,663372,4,1.74975,0.0027
2024,home,694297,6,1.7662,0.0029
2024,away,676477,8,1.7535,0.0038
2024,home,682243,6,1.75255,0.0024
2024,away,641726,1,1.75845,0.0028
2024,home,650633,6,1.75015,0.0032
2024,away,571927,3,1.7737,0.003
2024,home,694813,6,1.76135,0.0032
2024,away,641712,2,1.75605,0.0035
2024,home,684007,9,1.7498,0.00315
2024,away,594835,2,1.75185,0.0024
2024,home,669022,6,1.7616,0.00265
2024,away,608379,5,1.7566,0.0032
2024,home,665152,5,1.7639,0.00305
2024,away,671096,4,1.75385,0.0029
2024,home,650911,8,1.7476,0.00305
2024,away,681217,5,1.76135,0.0036
2024,home,676974,4,1.761,0.00365
2024,away,641540,7,1.7708,0.00355
2024,home,686752,3,1.7855,0.00265
2024,away,681857,3,1.75165,0.00315
2024,home,640455,8,1.7608,0.00315
2024,away,670102,7,1.75455,0.003
2024,home,669854,7,1.7638,0.00325
2024,away,656557,10,1.76035,0.00275
2024,home,671212,4,1.75835,0.00355
2024,away,663474,2,1.7479,0.00245
2024,home,676106,1,1.7632,0.00275
2024,away,502043,4,1.755,0.0028
2024,home,663362,7,1.7497,0.00315
2024,away,661563,6,1.7764,0.00355
2024,home,669194,2,1.7611,0.0026
2024,away,676775,6,1.761,0.0031
2024,home,572020,5,1.7662,0.00345
2024,away,686973,4,1.74755,0.0026
2024,home,596001,4,1.76595,0.00335
2024,away,679525,5,1.74795,0.0034
2024,home,608344,3,1.76295,0.0033
2024,away,668933,5,1.76595,0.00325
2024,home,605513,7,1.75055,0.0033
2024,away,542881,5,1.7663,0.0034
2024,home,666200,5,1.7453,0.0021
2024,away,571760,7,1.7625,0.00285
2024,home,621107,5,1.7567,0.0027
2024,away,607536,2,1.77275,0.0036
2024,home,665871,5,1.75535,0.0041
2024,away,625643,5,1.75775,0.0037
2024,home,676979,8,1.75195,0.00285
