season,date,game_pk,pitcher_id,lineup_ids,actual_k,exp_k,p_k_≥6.5
2024,2024-03-20,745444,607192,"605141,660271,518692,669257,571970,606192,681546,571771,666158",3,5.006,0.245
2024,2024-03-20,745444,506433,"593428,665487,630105,592518,673490,688363,669134,642180,701538",3,4.975,0.2375
2024,2024-03-21,746175,605397,"593428,665487,630105,592518,673490,640492,669134,666703,701538",2,4.9805,0.234
2024,2024-03-21,746175,808967,"605141,660271,518692,669257,571970,606192,681546,518792,666158",2,4.9995,0.24
2024,2024-03-28,747060,663776,"543685,543305,666160,621493,650859,694384,666176,681351,687263",2,4.9285,0.245
2024,2024-03-28,747060,669203,"683002,668939,663624,681297,669720,656811,656775,602104,622761",11,5.0125,0.248
2024,2024-03-28,746737,680686,"682928,657041,608385,608841,608336,660688,592696,545121,671277",6,5.0935,0.2575
2024,2024-03-28,746737,593423,"663697,666181,687952,600869,641584,682829,668715,605361,663886",4,4.9355,0.2285
2024,2024-03-28,745445,657277,"808982,624585,527038,656305,573262,642731,624424,672275,605113",5,4.9935,0.236
2024,2024-03-28,745445,506433,"593428,665487,630105,592518,673490,640492,669134,666703,701538",7,5.0535,0.247
2024,2024-03-28,746165,571945,"680977,502671,669357,571448,575929,676475,691023,687363,691026",5,5.026,0.235
2024,2024-03-28,746165,607192,"605141,660271,518692,669257,571970,606192,621035,571771,500743",5,5.0845,0.2505
2024,2024-03-28,745116,621244,"543807,665489,666182,457759,662139,672386,595281,643396,624415",6,5.0415,0.258
2024,2024-03-28,745116,621107,"650490,664040,668227,623912,670623,642708,642350,676609,650907",5,5.0445,0.2565
2024,2024-03-28,746335,641154,"621439,680777,666397,621043,467793,670242,571657,650489,666135",7,5.0545,0.2495
2024,2024-03-28,746335,666142,"672580,677951,686469,521692,669004,592669,624428,676369,680118",9,5.0645,0.253
2024,2024-03-28,746821,669373,"570482,679529,682985,592192,663837,690993,668670,595879,678009",6,5.079,0.256
2024,2024-03-28,746821,676979,"643217,660162,673357,650391,683734,657557,607680,455117,670032",8,5.0045,0.245
2024,2024-03-28,746089,656605,"656582,668804,663647,457705,680779,665833,669707,669261,572191",3,5.0995,0.246
2024,2024-03-28,746089,666200,"650333,605137,650559,665862,669394,541645,641313,660644,542194",8,5.078,0.2515
2024,2024-03-28,746418,641482,"650402,665742,592450,519317,519203,683011,657077,624431,665828",5,4.9885,0.237
2024,2024-03-28,746418,664285,"514888,670541,663656,608324,547989,676801,673237,665161,643289",5,5.102,0.256
2024,2024-03-28,745039,657006,"664023,673548,641355,666624,621020,683737,663538,670156,665804",6,5.0385,0.251
2024,2024-03-28,745039,543135,"543760,608369,673962,666969,694671,641680,608671,694497,665120",3,4.9455,0.225
2024,2024-03-28,745687,669456,"680757,608070,657656,647304,681807,671289,665926,595978,677587",11,5.039,0.237
2024,2024-03-28,745687,622072,"687231,680869,668709,667670,664913,605204,669127,665923,669397",3,5.0615,0.2525
2024,2024-03-28,747224,607536,"595909,669911,666134,663898,641857,607732,678662,660707,686668",2,5.0405,0.244
2024,2024-03-28,747224,668678,"607054,682998,664983,572233,672515,553993,677942,677950,666818",3,5.0565,0.255
2024,2024-03-28,745283,678394,"680776,646240,596115,671213,641933,807799,678882,622569,657136",2,5.0025,0.244
2024,2024-03-28,745283,622491,"641487,677594,593871,641598,663728,571745,664238,664034,670042",5,5.092,0.2535
2024,2024-03-29,745848,642547,"694192,661388,592885,656555,642715,663368,687401,641343,668930",8,5.0725,0.249
2024,2024-03-29,745848,500779,"607043,596019,624413,643446,516782,621466,682626,683146,664056",4,4.986,0.2385
2024,2024-03-29,745604,675911,"660670,645277,663586,621566,542303,671739,518595,606115,594807",8,5.071,0.2365
2024,2024-03-29,745604,554430,"656941,607208,547180,592663,664761,681082,592206,669016,679032",5,5.0875,0.2505
2024,2024-03-29,745117,605135,"543807,665489,666182,457759,662139,672386,595281,676391,624415",6,4.954,0.239
2024,2024-03-29,745117,650644,"650490,664040,668227,670623,680700,623912,642350,666163,676609",6,5.144,0.265
