season,player_id,role,opportunities,k_total,k_rate
2024,669257,batter,4,1,0.25
2024,543339,pitcher,0,1,1.0
2024,607192,pitcher,1,3,3.0
2024,571771,batter,1,1,1.0
2024,571970,batter,3,2,0.6666666666666666
2024,518792,batter,1,0,0.0
2024,518692,batter,2,1,0.5
2024,660271,batter,5,0,0.0
2024,606192,batter,5,2,0.4
2024,681546,batter,3,0,0.0
2024,666158,batter,5,0,0.0
2024,623465,pitcher,0,1,1.0
2024,605141,batter,4,0,0.0
2024,518489,pitcher,0,1,1.0
2024,523260,pitcher,0,0,0.0
2024,640492,batter,0,0,0.0
2024,669134,batter,4,0,0.0
2024,673513,pitcher,0,1,1.0
2024,666745,pitcher,0,0,0.0
2024,595777,batter,2,1,0.5
2024,593974,pitcher,0,1,1.0
2024,701538,batter,3,0,0.0
2024,660853,pitcher,0,1,1.0
2024,506433,pitcher,1,3,3.0
2024,669093,pitcher,0,1,1.0
2024,670970,pitcher,0,0,0.0
2024,592518,batter,3,0,0.0
2024,688363,batter,1,1,1.0
2024,642180,batter,2,1,0.5
2024,665487,batter,4,1,0.25
2024,593428,batter,4,0,0.0
2024,630105,batter,4,2,0.5
2024,673490,batter,3,0,0.0
2024,676680,pitcher,0,0,0.0
2024,640492,batter,2,0,0.0
2024,669134,batter,6,0,0.0
2024,673513,pitcher,0,0,0.0
2024,650633,pitcher,0,5,5.0
2024,663158,pitcher,0,2,2.0
2024,666703,batter,3,1,0.3333333333333333
2024,595777,batter,3,1,0.3333333333333333
2024,701538,batter,5,3,0.6
2024,605397,pitcher,1,2,2.0
2024,592518,batter,4,1,0.25
2024,642180,batter,3,0,0.0
2024,663568,pitcher,0,0,0.0
2024,665487,batter,4,0,0.0
2024,593428,batter,5,2,0.4
2024,630105,batter,4,0,0.0
2024,673490,batter,4,0,0.0
2024,676680,pitcher,0,0,0.0
2024,669257,batter,6,1,0.16666666666666666
2024,681911,pitcher,0,2,2.0
2024,642232,pitcher,0,1,1.0
2024,656420,pitcher,0,1,1.0
2024,571970,batter,6,3,0.5
2024,518792,batter,5,0,0.0
2024,518692,batter,4,2,0.5
2024,675627,pitcher,0,2,2.0
2024,669165,pitcher,0,0,0.0
2024,660271,batter,5,0,0.0
2024,606192,batter,3,2,0.6666666666666666
2024,666158,batter,5,1,0.2
2024,681546,batter,3,0,0.0
2024,681402,pitcher,0,0,0.0
2024,605141,batter,5,0,0.0
2024,808967,pitcher,1,2,2.0
2024,650859,batter,1,0,0.0
2024,666160,batter,1,0,0.0
2024,687263,batter,3,2,0.6666666666666666
2024,663776,pitcher,1,2,2.0
2024,621493,batter,4,2,0.5
2024,593934,batter,2,2,1.0
2024,660761,pitcher,0,2,2.0
2024,592273,batter,2,1,0.5
2024,545361,batter,3,1,0.3333333333333333
2024,543685,batter,4,2,0.5
2024,543305,batter,3,2,0.6666666666666666
2024,670871,pitcher,0,1,1.0
2024,666176,batter,1,1,1.0
2024,694384,batter,2,1,0.5
2024,643256,pitcher,0,0,0.0
2024,681351,batter,2,0,0.0
2024,542585,pitcher,0,0,0.0
2024,669211,pitcher,0,2,2.0
2024,657508,pitcher,0,0,0.0
2024,683002,batter,4,1,0.25
2024,622761,batter,3,1,0.3333333333333333
2024,623993,batter,4,0,0.0
2024,663624,batter,3,1,0.3333333333333333
2024,668939,batter,4,0,0.0
2024,676059,batter,3,0,0.0
2024,669203,pitcher,1,11,11.0
2024,669720,batter,4,2,0.5
2024,602104,batter,3,0,0.0
2024,622253,pitcher,0,1,1.0
2024,681297,batter,0,0,0.0
2024,656811,batter,1,0,0.0
2024,656775,batter,4,0,0.0
2024,682928,batter,4,2,0.5
2024,608385,batter,4,1,0.25
2024,680686,pitcher,1,6,6.0
2024,663432,pitcher,0,0,0.0
2024,608841,batter,4,0,0.0
2024,676395,pitcher,0,2,2.0
2024,545121,batter,3,0,0.0
2024,571670,pitcher,0,1,1.0
2024,592696,batter,3,0,0.0
2024,608336,batter,4,3,0.75
2024,660688,batter,3,0,0.0
2024,657041,batter,4,2,0.5
2024,598264,pitcher,0,0,0.0
2024,671277,batter,3,1,0.3333333333333333
2024,682829,batter,3,2,0.6666666666666666
2024,663697,batter,4,0,0.0
2024,641941,pitcher,0,1,1.0
2024,641584,batter,4,0,0.0
2024,666181,batter,4,1,0.25
2024,600869,batter,4,3,0.75
2024,593423,pitcher,1,4,4.0
2024,668715,batter,3,1,0.3333333333333333
2024,663886,batter,4,1,0.25
2024,687952,batter,4,1,0.25
2024,605361,batter,4,0,0.0
2024,608718,pitcher,0,4,4.0
2024,624424,batter,4,1,0.25
2024,624585,batter,3,1,0.3333333333333333
2024,642731,batter,4,1,0.25
2024,592426,pitcher,0,0,0.0
2024,657277,pitcher,1,5,5.0
2024,605113,batter,3,0,0.0
2024,676254,pitcher,0,1,1.0
2024,656305,batter,4,1,0.25
2024,672275,batter,3,1,0.3333333333333333
2024,527038,batter,2,1,0.5
2024,808982,batter,3,1,0.3333333333333333
2024,664774,batter,2,0,0.0
2024,573262,batter,4,3,0.75
2024,669062,pitcher,0,1,1.0
2024,640492,batter,2,1,0.5
2024,669134,batter,4,0,0.0
2024,673513,pitcher,0,0,0.0
2024,666745,pitcher,0,0,0.0
2024,663158,pitcher,0,1,1.0
2024,666703,batter,1,1,1.0
2024,595777,batter,2,0,0.0
2024,701538,batter,2,1,0.5
2024,506433,pitcher,1,7,7.0
2024,592518,batter,3,0,0.0
2024,642180,batter,3,1,0.3333333333333333
2024,665487,batter,4,0,0.0
2024,593428,batter,4,1,0.25
2024,630105,batter,4,1,0.25
2024,673490,batter,3,1,0.3333333333333333
2024,676680,pitcher,0,2,2.0
2024,669357,batter,4,2,0.5
2024,691023,batter,3,1,0.3333333333333333
2024,687363,batter,3,1,0.3333333333333333
2024,575929,batter,3,0,0.0
2024,571448,batter,4,0,0.0
2024,571945,pitcher,1,5,5.0
2024,676475,batter,3,1,0.3333333333333333
2024,502671,batter,4,1,0.25
2024,676617,pitcher,0,2,2.0
2024,669467,pitcher,0,2,2.0
2024,669461,pitcher,0,1,1.0
2024,680977,batter,4,0,0.0
2024,691026,batter,3,0,0.0
2024,669257,batter,4,0,0.0
2024,621035,batter,1,0,0.0
2024,607192,pitcher,1,5,5.0
2024,642232,pitcher,0,1,1.0
2024,571771,batter,1,1,1.0
2024,571970,batter,3,2,0.6666666666666666
2024,518792,batter,3,0,0.0
2024,518692,batter,3,1,0.3333333333333333
2024,660271,batter,3,1,0.3333333333333333
2024,606192,batter,4,3,0.75
2024,666158,batter,3,1,0.3333333333333333
2024,681546,batter,3,1,0.3333333333333333
2024,605141,batter,2,0,0.0
2024,500743,batter,1,0,0.0
2024,666182,batter,4,1,0.25
2024,662139,batter,3,1,0.3333333333333333
2024,641835,pitcher,0,2,2.0
2024,595281,batter,3,1,0.3333333333333333
2024,670950,pitcher,0,1,1.0
2024,643396,batter,4,0,0.0
2024,621244,pitcher,1,6,6.0
2024,543807,batter,4,0,0.0
2024,624415,batter,2,1,0.5
2024,665489,batter,5,1,0.2
2024,663878,pitcher,0,2,2.0
2024,672386,batter,3,1,0.3333333333333333
2024,457759,batter,4,1,0.25
2024,542888,pitcher,0,2,2.0
2024,642350,batter,4,2,0.5
2024,670623,batter,4,1,0.25
2024,623912,batter,4,1,0.25
2024,676609,batter,4,2,0.5
2024,664040,batter,3,1,0.3333333333333333
2024,680700,batter,2,1,0.5
2024,668227,batter,4,2,0.5
2024,642708,batter,1,0,0.0
2024,664076,pitcher,0,0,0.0
2024,621107,pitcher,1,5,5.0
2024,650907,batter,3,1,0.3333333333333333
2024,650490,batter,4,0,0.0
2024,664208,pitcher,0,0,0.0
2024,650489,batter,4,3,0.75
2024,622534,batter,2,1,0.5
2024,666397,batter,2,0,0.0
2024,571657,batter,3,2,0.6666666666666666
2024,680777,batter,5,1,0.2
2024,666135,batter,2,0,0.0
2024,643377,pitcher,0,1,1.0
2024,621043,batter,4,0,0.0
2024,641154,pitcher,1,7,7.0
2024,592779,pitcher,0,0,0.0
2024,596146,batter,4,2,0.5
2024,668904,batter,2,0,0.0
2024,621439,batter,4,1,0.25
2024,467793,batter,4,2,0.5
2024,670242,batter,1,0,0.0
2024,624428,batter,3,0,0.0
2024,666142,pitcher,1,9,9.0
2024,623433,pitcher,0,0,0.0
2024,592669,batter,3,1,0.3333333333333333
2024,521692,batter,4,2,0.5
2024,669004,batter,4,1,0.25
2024,680118,batter,0,0,0.0
2024,686469,batter,4,0,0.0
2024,664728,batter,3,0,0.0
2024,672580,batter,4,1,0.25
2024,672582,pitcher,0,2,2.0
2024,608717,pitcher,0,1,1.0
2024,677951,batter,3,2,0.6666666666666666
2024,676369,batter,3,1,0.3333333333333333
2024,669373,pitcher,1,6,6.0
2024,571946,pitcher,0,1,1.0
2024,595879,batter,4,1,0.25
2024,682985,batter,4,2,0.5
2024,605177,pitcher,0,2,2.0
2024,681481,batter,0,0,0.0
2024,570482,batter,0,0,0.0
2024,679529,batter,4,0,0.0
2024,592192,batter,3,2,0.6666666666666666
2024,671345,pitcher,0,2,2.0
2024,668670,batter,4,1,0.25
2024,663837,batter,4,3,0.75
2024,628451,batter,2,1,0.5
2024,678009,batter,3,1,0.3333333333333333
2024,690993,batter,4,0,0.0
2024,455117,batter,3,1,0.3333333333333333
2024,660162,batter,4,1,0.25
2024,683734,batter,3,2,0.6666666666666666
2024,670032,batter,3,0,0.0
2024,657557,batter,3,2,0.6666666666666666
2024,676979,pitcher,1,8,8.0
2024,656629,pitcher,0,1,1.0
2024,643217,batter,4,2,0.5
2024,607680,batter,3,1,0.3333333333333333
2024,665620,pitcher,0,2,2.0
2024,650391,batter,3,0,0.0
2024,608678,pitcher,0,0,0.0
2024,673357,batter,4,2,0.5
2024,669796,pitcher,0,0,0.0
2024,682847,pitcher,0,0,0.0
2024,668804,batter,5,2,0.4
2024,665833,batter,5,3,0.6
2024,642133,batter,2,2,1.0
2024,658668,batter,1,0,0.0
2024,656582,batter,4,0,0.0
2024,663647,batter,4,1,0.25
2024,669707,batter,6,2,0.3333333333333333
2024,656605,pitcher,1,3,3.0
2024,676596,pitcher,0,0,0.0
2024,457705,batter,5,4,0.8
2024,621366,pitcher,0,2,2.0
2024,680779,batter,6,1,0.16666666666666666
2024,572191,batter,5,2,0.4
2024,669261,batter,1,0,0.0
2024,676702,pitcher,0,1,1.0
2024,547973,pitcher,0,1,1.0
2024,666200,pitcher,1,8,8.0
2024,669394,batter,4,0,0.0
2024,650559,batter,6,1,0.16666666666666666
2024,624503,batter,3,1,0.3333333333333333
2024,681146,batter,1,0,0.0
2024,605137,batter,4,1,0.25
2024,542194,batter,0,0,0.0
2024,656945,pitcher,0,2,2.0
2024,664350,pitcher,0,0,0.0
2024,541645,batter,2,1,0.5
2024,666277,pitcher,0,1,1.0
2024,641313,batter,5,1,0.2
2024,663743,batter,3,0,0.0
2024,669622,pitcher,0,1,1.0
2024,665862,batter,3,0,0.0
2024,660821,batter,3,0,0.0
2024,660644,batter,1,1,1.0
2024,686539,pitcher,0,3,3.0
2024,677053,pitcher,0,2,2.0
2024,650333,batter,6,1,0.16666666666666666
2024,641482,pitcher,1,5,5.0
2024,519203,batter,3,1,0.3333333333333333
2024,665828,batter,4,1,0.25
2024,657077,batter,3,0,0.0
2024,592450,batter,4,2,0.5
2024,642528,pitcher,0,1,1.0
2024,650402,batter,4,1,0.25
2024,641656,pitcher,0,1,1.0
2024,624431,batter,3,1,0.3333333333333333
2024,605280,pitcher,0,0,0.0
2024,683011,batter,2,1,0.5
2024,519317,batter,5,2,0.4
2024,665742,batter,3,1,0.3333333333333333
2024,664285,pitcher,1,5,5.0
2024,606160,pitcher,0,0,0.0
2024,663656,batter,4,2,0.5
2024,572138,batter,1,0,0.0
2024,643289,batter,1,0,0.0
2024,623352,pitcher,0,3,3.0
2024,608324,batter,5,0,0.0
2024,676694,batter,2,1,0.5
2024,661527,pitcher,0,0,0.0
2024,547989,batter,3,1,0.3333333333333333
2024,514888,batter,5,2,0.4
2024,665161,batter,4,0,0.0
2024,519151,pitcher,0,1,1.0
2024,605463,pitcher,0,1,1.0
2024,676801,batter,4,1,0.25
2024,673237,batter,4,0,0.0
2024,670541,batter,5,0,0.0
2024,640470,pitcher,0,0,0.0
2024,643265,batter,1,1,1.0
2024,666624,batter,5,1,0.2
2024,593576,pitcher,0,1,1.0
2024,663611,batter,3,0,0.0
2024,664023,batter,4,1,0.25
2024,592767,pitcher,0,0,0.0
2024,683737,batter,2,1,0.5
2024,665804,batter,0,0,0.0
2024,543228,batter,3,1,0.3333333333333333
2024,670156,batter,1,0,0.0
2024,673548,batter,5,0,0.0
2024,622075,pitcher,0,0,0.0
2024,641355,batter,4,1,0.25
2024,643410,pitcher,0,3,3.0
2024,621020,batter,3,1,0.3333333333333333
2024,663538,batter,2,1,0.5
2024,657240,pitcher,0,0,0.0
2024,657006,pitcher,1,6,6.0
2024,641680,batter,5,2,0.4
2024,694497,batter,3,0,0.0
2024,694671,batter,3,1,0.3333333333333333
2024,665750,batter,3,1,0.3333333333333333
2024,608369,batter,5,1,0.2
2024,543760,batter,4,2,0.5
2024,673962,batter,3,0,0.0
2024,665120,batter,0,0,0.0
2024,677649,batter,3,2,0.6666666666666666
2024,622250,pitcher,0,2,2.0
2024,608671,batter,1,0,0.0
2024,666969,batter,4,1,0.25
2024,489446,pitcher,0,1,1.0
2024,543135,pitcher,1,3,3.0
2024,600917,pitcher,0,1,1.0
2024,502085,pitcher,0,1,1.0
2024,647304,batter,3,1,0.3333333333333333
2024,669456,pitcher,1,11,11.0
2024,669212,pitcher,0,0,0.0
2024,680704,pitcher,0,2,2.0
2024,595978,batter,4,2,0.5
2024,665926,batter,3,0,0.0
2024,657656,batter,4,2,0.5
2024,677587,batter,3,1,0.3333333333333333
2024,671289,batter,4,0,0.0
2024,681807,batter,4,0,0.0
2024,608070,batter,5,0,0.0
2024,680757,batter,5,1,0.2
2024,682120,pitcher,0,0,0.0
2024,671732,batter,1,1,1.0
2024,669397,batter,3,1,0.3333333333333333
2024,667670,batter,4,3,0.75
2024,680869,batter,4,2,0.5
2024,666205,pitcher,0,2,2.0
