player_id,name,team,position,group,strikeouts,plate_appearances,batters_faced,innings_pitched,k_rate,k_per_9,season
605156,0,ATH,P,pitching,225,,702.0,177.2,0.32051282051282054,11.397748592870544,2024
647351,1,ATH,3B,hitting,106,709.0,,,0.14950634696755993,,2024
649557,2,ATH,1B,hitting,106,709.0,,,0.14950634696755993,,2024
622072,3,ATH,P,pitching,225,,702.0,177.2,0.32051282051282054,11.397748592870544,2024
669137,4,ATH,3B,hitting,106,709.0,,,0.14950634696755993,,2024
613534,5,ATH,P,pitching,225,,702.0,177.2,0.32051282051282054,11.397748592870544,2024
669620,6,ATH,P,pitching,225,,702.0,177.2,0.32051282051282054,11.397748592870544,2024
656232,7,ATH,P,pitching,225,,702.0,177.2,0.32051282051282054,11.397748592870544,2024
667670,8,ATH,LF,hitting,106,709.0,,,0.14950634696755993,,2024
695391,9,ATH,3B,hitting,106,709.0,,,0.14950634696755993,,2024
666204,10,ATH,P,pitching,225,,702.0,177.2,0.32051282051282054,11.397748592870544,2024
687231,11,ATH,3B,hitting,106,709.0,,,0.14950634696755993,,2024
663662,12,ATH,LF,hitting,106,709.0,,,0.14950634696755993,,2024
687922,13,ATH,P,pitching,225,,702.0,177.2,0.32051282051282054,11.397748592870544,2024
665923,14,ATH,LF,hitting,106,709.0,,,0.14950634696755993,,2024
622103,15,ATH,P,pitching,225,,702.0,177.2,0.32051282051282054,11.397748592870544,2024
680880,16,ATH,P,pitching,225,,702.0,177.2,0.32051282051282054,11.397748592870544,2024
663687,17,ATH,P,pitching,225,,702.0,177.2,0.32051282051282054,11.397748592870544,2024
605204,18,ATH,1B,hitting,106,709.0,,,0.14950634696755993,,2024
669372,19,ATH,P,pitching,225,,702.0,177.2,0.32051282051282054,11.397748592870544,2024
668709,20,ATH,CF,hitting,106,709.0,,,0.14950634696755993,,2024
676664,21,ATH,P,pitching,225,,702.0,177.2,0.32051282051282054,11.397748592870544,2024
672552,22,ATH,P,pitching,225,,702.0,177.2,0.32051282051282054,11.397748592870544,2024
805779,23,ATH,SS,hitting,106,709.0,,,0.14950634696755993,,2024
676083,24,ATH,P,pitching,225,,702.0,177.2,0.32051282051282054,11.397748592870544,2024
671212,25,ATH,P,pitching,225,,702.0,177.2,0.32051282051282054,11.397748592870544,2024
683155,26,ATH,P,pitching,225,,702.0,177.2,0.32051282051282054,11.397748592870544,2024
668832,27,ATH,C,hitting,106,709.0,,,0.14950634696755993,,2024
666205,28,ATH,P,pitching,225,,702.0,177.2,0.32051282051282054,11.397748592870544,2024
671732,29,ATH,RF,hitting,106,709.0,,,0.14950634696755993,,2024
668674,30,ATH,P,pitching,225,,702.0,177.2,0.32051282051282054,11.397748592870544,2024
665622,31,ATH,P,pitching,225,,702.0,177.2,0.32051282051282054,11.397748592870544,2024
695243,32,ATH,P,pitching,225,,702.0,177.2,0.32051282051282054,11.397748592870544,2024
680474,33,ATH,SS,hitting,106,709.0,,,0.14950634696755993,,2024
547184,34,ATH,P,pitching,225,,702.0,177.2,0.32051282051282054,11.397748592870544,2024
671305,35,ATH,P,pitching,225,,702.0,177.2,0.32051282051282054,11.397748592870544,2024
609280,36,ATH,LF,hitting,106,709.0,,,0.14950634696755993,,2024
687765,37,ATH,P,pitching,225,,702.0,177.2,0.32051282051282054,11.397748592870544,2024
669397,38,ATH,SS,hitting,106,709.0,,,0.14950634696755993,,2024
674370,39,ATH,P,pitching,225,,702.0,177.2,0.32051282051282054,11.397748592870544,2024
621112,40,ATH,P,pitching,225,,702.0,177.2,0.32051282051282054,11.397748592870544,2024
548389,41,ATH,P,pitching,225,,702.0,177.2,0.32051282051282054,11.397748592870544,2024
676116,42,ATH,1B,hitting,106,709.0,,,0.14950634696755993,,2024
518397,43,ATH,P,pitching,225,,702.0,177.2,0.32051282051282054,11.397748592870544,2024
656794,44,ATH,P,pitching,225,,702.0,177.2,0.32051282051282054,11.397748592870544,2024
664913,45,ATH,LF,hitting,106,709.0,,,0.14950634696755993,,2024
669127,46,ATH,C,hitting,106,709.0,,,0.14950634696755993,,2024
519008,47,ATH,P,pitching,225,,702.0,177.2,0.32051282051282054,11.397748592870544,2024
656484,48,ATH,3B,hitting,106,709.0,,,0.14950634696755993,,2024
621053,49,ATH,P,pitching,225,,702.0,177.2,0.32051282051282054,11.397748592870544,2024
663527,50,ATH,1B,hitting,106,709.0,,,0.14950634696755993,,2024
691016,51,ATH,1B,hitting,106,709.0,,,0.14950634696755993,,2024
657697,52,ATH,P,pitching,225,,702.0,177.2,0.32051282051282054,11.397748592870544,2024
694361,53,ATH,P,pitching,225,,702.0,177.2,0.32051282051282054,11.397748592870544,2024
680869,54,ATH,2B,hitting,106,709.0,,,0.14950634696755993,,2024
621345,55,ATL,P,pitching,225,,702.0,177.2,0.32051282051282054,11.397748592870544,2024
700363,56,ATL,P,pitching,225,,702.0,177.2,0.32051282051282054,11.397748592870544,2024
607481,57,ATL,P,pitching,225,,702.0,177.2,0.32051282051282054,11.397748592870544,2024
594807,58,ATL,RF,hitting,106,709.0,,,0.14950634696755993,,2024
642216,59,ATL,P,pitching,225,,702.0,177.2,0.32051282051282054,11.397748592870544,2024
663586,60,ATL,3B,hitting,106,709.0,,,0.14950634696755993,,2024
605119,61,ATL,RF,hitting,106,709.0,,,0.14950634696755993,,2024
693821,62,ATL,P,pitching,225,,702.0,177.2,0.32051282051282054,11.397748592870544,2024
624415,63,ATL,2B,hitting,106,709.0,,,0.14950634696755993,,2024
644433,64,ATL,C,hitting,106,709.0,,,0.14950634696755993,,2024
450203,65,ATL,P,pitching,225,,702.0,177.2,0.32051282051282054,11.397748592870544,2024
519242,66,ATL,P,pitching,225,,702.0,177.2,0.32051282051282054,11.397748592870544,2024
670241,67,ATL,P,pitching,225,,702.0,177.2,0.32051282051282054,11.397748592870544,2024
664058,68,ATL,2B,hitting,106,709.0,,,0.14950634696755993,,2024
678226,69,ATL,P,pitching,225,,702.0,177.2,0.32051282051282054,11.397748592870544,2024
689266,70,ATL,P,pitching,225,,702.0,177.2,0.32051282051282054,11.397748592870544,2024
669276,71,ATL,P,pitching,225,,702.0,177.2,0.32051282051282054,11.397748592870544,2024
592696,72,ATL,LF,hitting,106,709.0,,,0.14950634696755993,,2024
642201,73,ATL,LF,hitting,106,709.0,,,0.14950634696755993,,2024
657088,74,ATL,CF,hitting,106,709.0,,,0.14950634696755993,,2024
570482,75,ATL,3B,hitting,106,709.0,,,0.14950634696755993,,2024
656550,76,ATL,P,pitching,225,,702.0,177.2,0.32051282051282054,11.397748592870544,2024
694462,77,ATL,P,pitching,225,,702.0,177.2,0.32051282051282054,11.397748592870544,2024
679881,78,ATL,RF,hitting,106,709.0,,,0.14950634696755993,,2024
623451,79,ATL,P,pitching,225,,702.0,177.2,0.32051282051282054,11.397748592870544,2024
672284,80,ATL,LF,hitting,106,709.0,,,0.14950634696755993,,2024
445926,81,ATL,P,pitching,225,,702.0,177.2,0.32051282051282054,11.397748592870544,2024
623474,82,ATL,P,pitching,225,,702.0,177.2,0.32051282051282054,11.397748592870544,2024
641729,83,ATL,P,pitching,225,,702.0,177.2,0.32051282051282054,11.397748592870544,2024
605154,84,ATL,P,pitching,225,,702.0,177.2,0.32051282051282054,11.397748592870544,2024
624585,85,ATL,RF,hitting,106,709.0,,,0.14950634696755993,,2024
641645,86,ATL,2B,hitting,106,709.0,,,0.14950634696755993,,2024
592426,87,ATL,P,pitching,225,,702.0,177.2,0.32051282051282054,11.397748592870544,2024
663897,88,ATL,LF,hitting,106,709.0,,,0.14950634696755993,,2024
542303,89,ATL,DH,hitting,106,709.0,,,0.14950634696755993,,2024
