game_id,official_date,away_pid,home_pid,away_lineup,home_lineup
777165,2025-07-10,656849,450203,"607043,596019,665742,624413,668901,682668,620443,683146,643446","702616,676059,657656,656775,602104,681297,683002,656811,607732"
777181,2025-07-10,663399,608372,"607043,596019,665742,624413,643446,668901,683146,677595,620443","702616,676059,683002,656811,657656,681297,602104,656775,656577"
777166,2025-07-10,607067,663978,"664023,663656,673548,691718,683737,621020,608348,663538,807713","650489,663616,686797,680777,670242,680577,665019,668904,664056"
777168,2025-07-10,615698,666157,"669364,682663,672640,676572,681393,691594,669065,689414,656537","670770,680574,682829,669720,656582,668715,624431,666181,669289"
777169,2025-07-10,693433,573186,"641487,677594,663728,668227,593871,670042,456781,702284,810938","502671,663757,592450,641355,665862,700250,669224,683011,672724"
777170,2025-07-10,671737,621111,"650490,666018,691406,666139,673490,802415,663968,643376,670764","680776,701350,666152,665966,677800,596115,663853,691785,678882"
777167,2025-07-10,647336,571945,"682928,695578,671277,605137,663993,657557,695734,686452,696285","680977,691026,676475,575929,641658,571448,669357,650968,687363"
777156,2025-07-10,675911,676664,"660670,621566,663586,669221,595777,642201,645277,671739,663897","671732,667670,701762,609280,691016,691777,680474,680869,669127"
777159,2025-07-10,571578,686799,"669701,677649,664059,666969,641680,694671,694497,669394,696030","687263,621028,621493,666176,672569,660162,681351,650859,664774"
777158,2025-07-10,593958,681190,"682998,606466,672695,647304,553993,666971,664983,545341,543510","665487,642180,592518,669369,593428,701538,578428,630105,553869"
