game_id,side,pitcher_id,exp_raw,p_raw,exp_cal,p_cal
777165,away,656849,10092.63,1.0,38302.34,1.0
777165,home,450203,10132.32,1.0,38453.0,1.0
777181,away,663399,10108.79,1.0,38363.68,1.0
777181,home,608372,10129.21,1.0,38441.21,1.0
777166,away,607067,10121.16,1.0,38410.64,1.0
777166,home,663978,10096.68,1.0,38317.73,1.0
777168,away,615698,10058.21,1.0,38171.66,1.0
777168,home,666157,10101.16,1.0,38334.71,1.0
777169,away,693433,10123.68,1.0,38420.23,1.0
777169,home,573186,10120.68,1.0,38408.84,1.0
777170,away,671737,10084.74,1.0,38272.37,1.0
777170,home,621111,10109.0,1.0,38364.48,1.0
777167,away,647336,10165.47,1.0,38578.88,1.0
777167,home,571945,10089.95,1.0,38292.15,1.0
777156,away,675911,10187.32,1.0,38661.8,1.0
777156,home,676664,10114.53,1.0,38385.46,1.0
777159,away,571578,10088.63,1.0,38287.16,1.0
777159,home,686799,10086.89,1.0,38280.56,1.0
777158,away,593958,10087.89,1.0,38284.36,1.0
777158,home,681190,10138.32,1.0,38475.78,1.0
